Date,Flow
1993/1,0.64918452
1993/2,0.31414287
1993/3,0.16735743
1993/4,0.21867999
1993/5,0.5099613
1993/6,2.48915199
1993/7,20.62170582
1993/8,33.63958452
1993/9,24.10456002
1993/10,9.04192257
1993/11,2.811216
1993/12,1.13720517
1994/1,0.57069678
1994/2,0.31459713
1994/3,0.14614452
1994/4,0.08352
1994/5,0.23530839
1994/6,4.645032
1994/7,20.37031743
1994/8,46.64492904
1994/9,29.39243202
1994/10,4.79675613
1994/11,1.68377601
1994/12,0.99351483
1995/1,0.51949161
1995/2,0.40162287
1995/3,0.35550969
1995/4,0.334728
1995/5,0.3732387
1995/6,1.19681601
1995/7,14.7863613
1995/8,35.65738839
1995/9,23.65268799
1995/10,5.98684644
1995/11,4.083816
1995/12,3.05718969
1996/1,1.78918452
1996/2,0.86189793
1996/3,0.80904774
1996/4,0.81642399
1996/5,1.91773935
1996/6,13.54328799
1996/7,42.97887486
1996/8,48.11193291
1996/9,24.362856
1996/10,8.86441548
1996/11,5.30559999
1996/12,3.65909418
1997/1,2.58649548
1997/2,1.91841429
1997/3,1.59132387
1997/4,1.19240001
1997/5,1.76428644
1997/6,11.52625599
1997/7,34.07436387
1997/8,36.12824514
1997/9,19.1094
1997/10,14.13638709
1997/11,13.09907199
1997/12,4.00618839
